id,year,town,location,l_number,x,y
1,108,佳冬鄉,新埔段,492,120.54308,22.44599
2,108,佳冬鄉,新埔段,533_2,120.546041,22.444317
3,108,佳冬鄉,新埔段,1173,120.53213,22.435411
4,108,佳冬鄉,新埔段,1054_4,120.531293,22.438454
5,108,佳冬鄉,新埔段,1057,120.531292,22.438133
6,108,佳冬鄉,新埔段,471,120.53931,22.447175
7,108,佳冬鄉,新埔段,591,120.54114,22.444712
8,108,佳冬鄉,新埔段,592,120.541314,22.445113
9,108,佳冬鄉,新埔段,1054,120.531659,22.438625
10,108,佳冬鄉,新埔段,1047,120.531698,22.439033
11,108,佳冬鄉,新埔段,1047_1,120.531614,22.439705
12,108,佳冬鄉,新埔段,624,120.538752,22.443309
13,108,佳冬鄉,新埔段,528,120.546229,22.443853
14,108,佳冬鄉,新埔段,839,120.538366,22.44269
15,108,佳冬鄉,新埔段,968,120.540538,22.440798
16,108,佳冬鄉,新埔段,614,120.539123,22.445143
17,108,佳冬鄉,新埔段,617,120.538569,22.444757
18,108,佳冬鄉,新埔段,691,120.533538,22.443753
19,108,佳冬鄉,新埔段,692,120.533493,22.443532
20,108,佳冬鄉,新埔段,833,120.537896,22.442413
21,108,佳冬鄉,新埔段,835,120.538288,22.441585
22,108,佳冬鄉,新埔段,28,120.541016,22.449067
23,108,佳冬鄉,新埔段,69,120.537608,22.450137
24,108,佳冬鄉,新埔段,67,120.53731,22.450346
25,109,佳冬鄉,昌南段,432,120.559234,22.439903
26,109,佳冬鄉,昌南段,450,120.558162,22.440242
27,109,佳冬鄉,昌南段,451,120.557858,22.440193
28,109,佳冬鄉,昌南段,140,120.554079,22.445853
29,109,佳冬鄉,昌南段,666,120.559469,22.439114
30,109,佳冬鄉,昌南段,299,120.559039,22.442684
31,109,佳冬鄉,昌南段,300,120.559072,22.442123
32,109,佳冬鄉,昌南段,301,120.559362,22.441961
33,109,佳冬鄉,昌南段,291,120.557989,22.442762
34,109,佳冬鄉,昌南段,295,120.558164,22.442604
35,109,佳冬鄉,昌南段,296,120.558368,22.442619
